record_id,db_source,author,year,title,doi,reviewer1,reviewer2,reviewer3,exclusion_reason
1322,Scopus,Lee Y.,2017,Neuroprotective strategies to prevent and treat Parkinson’s disease based on its pathophysiological mechanism,10.1007/s12272-017-0960-8,exclude,exclude,exclude,Review or non-original article
1323,Scopus,Banach M.,2021,PoLA/CFPiP/PCS/PSLD/PSD/PSH guidelines on diagnosis and therapy of lipid disorders in Poland 2021,10.5114/aoms/141941,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1324,Scopus,de la Iglesia R.,2016,Dietary strategies implicated in the prevention and treatment of metabolic syndrome,10.3390/ijms17111877,exclude,exclude,exclude,Review or non-original article
1325,Scopus,Duffey K.J.,2015,Adult consumers of cranberry juice cocktail have lower C-reactive protein levels compared with nonconsumers,10.1016/j.nutres.2014.11.005,exclude,exclude,exclude,Observational design
1326,Scopus,Silva A.A.,2020,"Chemical characterization of the antioxidant, antihyperglycemic and antihypertensive capacities of red rice (Oryza sativa l.) whole flour; [Caracteristicas físico-químicas, capacidad antioxidante, anti-hiperlucémica y antihipertensiva de la harina de arroz rojo (Oryza sativa l.)]",10.4067/s0717-75182020000200238,exclude,exclude,exclude,Animal or in vitro study
1327,Scopus,Godos J.,2020,Association between dietary flavonoids intake and cognitive function in an Italian cohort,10.3390/biom10091300,exclude,exclude,exclude,Other reason not meeting eligibility criteria
1328,Scopus,Patti A.M.,2018,Natural approaches in metabolic syndrome management,10.5114/aoms.2017.68717,exclude,exclude,exclude,Review or non-original article
1329,Scopus,Cayero-Otero M.D.,2018,Potential use of nanomedicine for the anti-inflammatory treatment of neurodegenerative diseases,10.2174/1381612824666180403113015,exclude,exclude,exclude,Review or non-original article
1330,Scopus,Visvanathan R.,2016,Health-beneficial properties of potato and compounds of interest,10.1002/jsfa.7848,exclude,exclude,exclude,Review or non-original article
1331,Scopus,Özdemir B.,2016,Health properties of almond,,exclude,exclude,exclude,Review or non-original article
1332,Scopus,Ayinde K.S.,2020,AMPK allostery: A therapeutic target for the management/treatment of diabetic nephropathy,10.1016/j.lfs.2020.118455,exclude,exclude,exclude,Review or non-original article
1333,Scopus,Rathore D.,2019,Phytochemistry and pharmacology of genus Bombax,10.2174/2210315508666180831095836,exclude,exclude,exclude,Review or non-original article
1334,Scopus,Song J.,2020,New progress in the pharmacology of protocatechuic acid: A compound ingested in daily foods and herbs frequently and heavily,10.1016/j.phrs.2020.105109,exclude,exclude,exclude,Review or non-original article
1335,Scopus,Bub A.,2019,A dietary intervention of bioactive enriched foods aimed at adults at risk of metabolic syndrome: Protocol and results from PATHWAY-27 pilot study,10.3390/nu11081814,exclude,exclude,exclude,"Protocol, abstract or other non-report"
1336,Scopus,Fratantonio D.,2015,Palmitate-induced endothelial dysfunction is attenuated by cyanidin-3-O-glucoside through modulation of Nrf2/Bach1 and NF-κB pathways,10.1016/j.toxlet.2015.09.020,exclude,exclude,exclude,Animal or in vitro study
1337,Scopus,Sharma B.,2021,Pharmacokinetic and molecular docking studies of natural plant compounds of Hibiscus sabdariffa to design antihypertensive compounds targeting AT2R,10.1504/ijcbdd.2021.114097,exclude,exclude,exclude,Animal or in vitro study
1338,Scopus,Milia E.,2021,Leaves and fruits preparations of pistacia lentiscus l.: A review on the ethnopharmacological uses and implications in inflammation and infection,10.3390/antibiotics10040425,exclude,exclude,exclude,Review or non-original article
1339,Scopus,Akhlaghi M.,2016,Non-alcoholic Fatty Liver Disease: Beneficial Effects of Flavonoids,10.1002/ptr.5667,exclude,exclude,exclude,Review or non-original article
1340,Scopus,Vinayagam R.,2015,Antidiabetic properties of dietary flavonoids: A cellular mechanism review,10.1186/s12986-015-0057-7,exclude,exclude,exclude,Review or non-original article
